,paths,year,month,day,hour,minute,coarse_pix
215,../data/masks/FRF_c1_snap_20180127160000_predseg.png,2018,01,28,16,00,11031
216,../data/masks/FRF_c1_snap_20180709160000_predseg.png,2018,07,10,16,00,146
217,../data/masks/FRF_c1_snap_20181217160000_predseg.png,2018,12,18,16,00,1055
218,../data/masks/FRF_c1_snap_20170829160000_predseg.png,2017,08,30,16,00,20134
219,../data/masks/FRF_c1_snap_20160317160000_predseg.png,2016,03,18,16,00,483
220,../data/masks/FRF_c1_snap_20200803160000_predseg.png,2020,08,04,16,00,2757
221,../data/masks/FRF_c1_snap_20210329160000_predseg.png,2021,03,30,16,00,1344
222,../data/masks/FRF_c1_snap_20170321160000_predseg.png,2017,03,22,16,00,248
223,../data/masks/FRF_c1_snap_20181101160000_predseg.png,2018,11,02,16,00,2732
224,../data/masks/FRF_c1_snap_20161115160000_predseg.png,2016,11,16,16,00,1067
225,../data/masks/FRF_c1_snap_20181123160000_predseg.png,2018,11,24,16,00,172
226,../data/masks/FRF_c1_snap_20210120160000_predseg.png,2021,01,21,16,00,541
227,../data/masks/FRF_c1_snap_20190604160000_predseg.png,2019,06,05,16,00,4483
228,../data/masks/FRF_c1_snap_20190424160000_predseg.png,2019,04,25,16,00,2087
229,../data/masks/FRF_c1_snap_20191002160000_predseg.png,2019,10,03,16,00,2336
230,../data/masks/FRF_c1_snap_20181027160000_predseg.png,2018,10,28,16,00,23687
231,../data/masks/FRF_c1_snap_20201029160000_predseg.png,2020,10,30,16,00,119
232,../data/masks/FRF_c1_snap_20180204160000_predseg.png,2018,02,05,16,00,16770
233,../data/masks/FRF_c1_snap_20200506160000_predseg.png,2020,05,07,16,00,136
234,../data/masks/FRF_c1_snap_20200410160000_predseg.png,2020,04,11,16,00,817
235,../data/masks/FRF_c1_snap_20171015160000_predseg.png,2017,10,16,16,00,290
236,../data/masks/FRF_c1_snap_20200824160000_predseg.png,2020,08,25,16,00,330
237,../data/masks/FRF_c1_snap_20151112160000_predseg.png,2015,11,13,16,00,310
238,../data/masks/FRF_c1_snap_20170127160000_predseg.png,2017,01,28,16,00,1425
239,../data/masks/FRF_c1_snap_20210620160000_predseg.png,2021,06,21,16,00,426
240,../data/masks/FRF_c1_snap_20160311160000_predseg.png,2016,03,12,16,00,1206
241,../data/masks/FRF_c1_snap_20180514160000_predseg.png,2018,05,15,16,00,996
242,../data/masks/FRF_c1_snap_20200908160000_predseg.png,2020,09,09,16,00,151
243,../data/masks/FRF_c1_snap_20170121160000_predseg.png,2017,01,22,16,00,109
244,../data/masks/FRF_c1_snap_20170220160000_predseg.png,2017,02,21,16,00,2348
245,../data/masks/FRF_c1_snap_20151013160000_predseg.png,2015,10,14,16,00,241
246,../data/masks/FRF_c1_snap_20170602160000_predseg.png,2017,06,03,16,00,1244
247,../data/masks/FRF_c1_snap_20190103160000_predseg.png,2019,01,04,16,00,345
248,../data/masks/FRF_c1_snap_20170825160000_predseg.png,2017,08,26,16,00,717
249,../data/masks/FRF_c1_snap_20200305160000_predseg.png,2020,03,06,16,00,190
250,../data/masks/FRF_c1_snap_20200612160000_predseg.png,2020,06,13,16,00,22758
251,../data/masks/FRF_c1_snap_20160829160000_predseg.png,2016,08,30,16,00,410
252,../data/masks/FRF_c1_snap_20150613160000_predseg.png,2015,06,14,16,00,761
253,../data/masks/FRF_c1_snap_20150821160000_predseg.png,2015,08,22,16,00,955
254,../data/masks/FRF_c1_snap_20201222160000_predseg.png,2020,12,23,16,00,338
255,../data/masks/FRF_c1_snap_20151201160000_predseg.png,2015,12,02,16,00,32510
256,../data/masks/FRF_c1_snap_20180104160000_predseg.png,2018,01,05,16,00,3098
257,../data/masks/FRF_c1_snap_20150710160000_predseg.png,2015,07,11,16,00,920
258,../data/masks/FRF_c1_snap_20210223160000_predseg.png,2021,02,24,16,00,2090
259,../data/masks/FRF_c1_snap_20200819160000_predseg.png,2020,08,20,16,00,113
260,../data/masks/FRF_c1_snap_20171217160000_predseg.png,2017,12,18,16,00,1265
261,../data/masks/FRF_c1_snap_20180804160000_predseg.png,2018,08,05,16,00,449
262,../data/masks/FRF_c1_snap_20170213160000_predseg.png,2017,02,14,16,00,145
263,../data/masks/FRF_c1_snap_20200920160000_predseg.png,2020,09,21,16,00,26306
264,../data/masks/FRF_c1_snap_20180908160000_predseg.png,2018,09,09,16,00,2203
265,../data/masks/FRF_c1_snap_20200928160000_predseg.png,2020,09,29,16,00,686
266,../data/masks/FRF_c1_snap_20180421160000_predseg.png,2018,04,22,16,00,331
267,../data/masks/FRF_c1_snap_20210503160000_predseg.png,2021,05,04,16,00,2000
268,../data/masks/FRF_c1_snap_20150317160000_predseg.png,2015,03,18,16,00,1186
269,../data/masks/FRF_c1_snap_20170203160000_predseg.png,2017,02,04,16,00,26752
270,../data/masks/FRF_c1_snap_20171208160000_predseg.png,2017,12,09,16,00,13560
271,../data/masks/FRF_c1_snap_20180802160000_predseg.png,2018,08,03,16,00,334
272,../data/masks/FRF_c1_snap_20170208160000_predseg.png,2017,02,09,16,00,210
273,../data/masks/FRF_c1_snap_20200228160000_predseg.png,2020,02,29,16,00,333
274,../data/masks/FRF_c1_snap_20150401160000_predseg.png,2015,04,02,16,00,2667
275,../data/masks/FRF_c1_snap_20160816160000_predseg.png,2016,08,17,16,00,269
276,../data/masks/FRF_c1_snap_20210513160000_predseg.png,2021,05,14,16,00,4233
277,../data/masks/FRF_c1_snap_20200517160000_predseg.png,2020,05,18,16,00,415
278,../data/masks/FRF_c1_snap_20150419160000_predseg.png,2015,04,20,16,00,2654
279,../data/masks/FRF_c1_snap_20190525160000_predseg.png,2019,05,26,16,00,1204
280,../data/masks/FRF_c1_snap_20200501160000_predseg.png,2020,05,02,16,00,183
281,../data/masks/FRF_c1_snap_20180820160000_predseg.png,2018,08,21,16,00,1990
282,../data/masks/FRF_c1_snap_20180322160000_predseg.png,2018,03,23,16,00,145
283,../data/masks/FRF_c1_snap_20190207160000_predseg.png,2019,02,08,16,00,1020
284,../data/masks/FRF_c1_snap_20170331160000_predseg.png,2017,04,01,16,00,30191
285,../data/masks/FRF_c1_snap_20190510160000_predseg.png,2019,05,11,16,00,3082
286,../data/masks/FRF_c1_snap_20151029160000_predseg.png,2015,10,30,16,00,542
287,../data/masks/FRF_c1_snap_20180105160000_predseg.png,2018,01,06,16,00,112
288,../data/masks/FRF_c1_snap_20200526160000_predseg.png,2020,05,27,16,00,74
289,../data/masks/FRF_c1_snap_20180925160000_predseg.png,2018,09,26,16,00,23663
290,../data/masks/FRF_c1_snap_20210604160000_predseg.png,2021,06,05,16,00,15812
291,../data/masks/FRF_c1_snap_20170425160000_predseg.png,2017,04,26,16,00,796
292,../data/masks/FRF_c1_snap_20180904160000_predseg.png,2018,09,05,16,00,710
293,../data/masks/FRF_c1_snap_20170716160000_predseg.png,2017,07,17,16,00,2133
294,../data/masks/FRF_c1_snap_20191024160000_predseg.png,2019,10,25,16,00,1489
295,../data/masks/FRF_c1_snap_20181031160000_predseg.png,2018,11,01,16,00,1414
296,../data/masks/FRF_c1_snap_20200216160000_predseg.png,2020,02,17,16,00,144
297,../data/masks/FRF_c1_snap_20180722160000_predseg.png,2018,07,23,16,00,15062
298,../data/masks/FRF_c1_snap_20200105160000_predseg.png,2020,01,06,16,00,166
299,../data/masks/FRF_c1_snap_20161111160000_predseg.png,2016,11,12,16,00,2621
300,../data/masks/FRF_c1_snap_20210320160000_predseg.png,2021,03,21,16,00,423
301,../data/masks/FRF_c1_snap_20160107160000_predseg.png,2016,01,08,16,00,190
302,../data/masks/FRF_c1_snap_20190704160000_predseg.png,2019,07,05,16,00,1754
303,../data/masks/FRF_c1_snap_20190206160000_predseg.png,2019,02,07,16,00,1027
304,../data/masks/FRF_c1_snap_20151107160000_predseg.png,2015,11,08,16,00,409
305,../data/masks/FRF_c1_snap_20160430160000_predseg.png,2016,05,01,16,00,29168
306,../data/masks/FRF_c1_snap_20151228160000_predseg.png,2015,12,29,16,00,29299
307,../data/masks/FRF_c1_snap_20190213160000_predseg.png,2019,02,14,16,00,357
308,../data/masks/FRF_c1_snap_20210427160000_predseg.png,2021,04,28,16,00,5641
309,../data/masks/FRF_c1_snap_20181122160000_predseg.png,2018,11,23,16,00,1119
310,../data/masks/FRF_c1_snap_20210311160000_predseg.png,2021,03,12,16,00,2317
311,../data/masks/FRF_c1_snap_20150311160000_predseg.png,2015,03,12,16,00,595
312,../data/masks/FRF_c1_snap_20150423160000_predseg.png,2015,04,24,16,00,2908
313,../data/masks/FRF_c1_snap_20150424160000_predseg.png,2015,04,25,16,00,2762
314,../data/masks/FRF_c1_snap_20151115160000_predseg.png,2015,11,16,16,00,223
315,../data/masks/FRF_c1_snap_20150413160000_predseg.png,2015,04,14,16,00,1784
316,../data/masks/FRF_c1_snap_20160110160000_predseg.png,2016,01,11,16,00,28025
317,../data/masks/FRF_c1_snap_20190317160000_predseg.png,2019,03,18,16,00,2240
318,../data/masks/FRF_c1_snap_20171027160000_predseg.png,2017,10,28,16,00,116
